link,video_link,title,time,date,day,arm_month,year,month,iso_date,cleaned_title
https://www.1tv.am/hy/video/Հարցազրույց-Դավիթ-Խաժակյանի-հետ/201276,https://www.youtube.com/embed/zlwmx208ClE?autoplay=1&autohide=1,Հարցազրույց Դավիթ Խաժակյանի հետ,21:30,"19 Հլս, 2022",19,Հլս,2022,07,2022-07-19,դավիթ խաժակյան
https://www.1tv.am/hy/video/Հարցազրույց-Հայկ-Կոնջորյանի-հետ/201254,https://www.youtube.com/embed/ELdcj0qStMo?autoplay=1&autohide=1,Հարցազրույց Հայկ Կոնջորյանի հետ,21:45,"18 Հլս, 2022",18,Հլս,2022,07,2022-07-18,հայկ կոնջորյան
https://www.1tv.am/hy/video/Հարցազրույց-Արամ-Սարգսյանի-հետ/201215,https://www.youtube.com/embed/0_l5AhzXY_U?autoplay=1&autohide=1,Հարցազրույց Արամ Սարգսյանի հետ,21:30,"15 Հլս, 2022",15,Հլս,2022,07,2022-07-15,արամ սարգսյան
https://www.1tv.am/hy/video/Հարցազրույց-Խոսրով-Հարությունյանի-հետ/201148,https://www.youtube.com/embed/qiC-0uFf4uQ?autoplay=1&autohide=1,Հարցազրույց Խոսրով Հարությունյանի հետ,21:15,"14 Հլս, 2022",14,Հլս,2022,07,2022-07-14,խոսրով հարությունյան
https://www.1tv.am/hy/video/Հարցազրույց-Հակոբ-Բադալյանի-հետ/201142,https://www.youtube.com/embed/k56NU1HR5J0?autoplay=1&autohide=1,Հարցազրույց Հակոբ Բադալյանի հետ,21:30,"13 Հլս, 2022",13,Հլս,2022,07,2022-07-13,հակոբ բադալյան
https://www.1tv.am/hy/video/Հարցազրույց-Թաթուլ-Հակոբյանի-հետ/201116,https://www.youtube.com/embed/uo-olHWcnd4?autoplay=1&autohide=1,Հարցազրույց Թաթուլ Հակոբյանի հետ,21:35,"12 Հլս, 2022",12,Հլս,2022,07,2022-07-12,թաթուլ հակոբյան
https://www.1tv.am/hy/video/Հարցազրույց-Արմեն-Գրիգորյանի-հետ/201082,https://www.youtube.com/embed/w-eo8mlpO4Y?autoplay=1&autohide=1,Հարցազրույց Արմեն Գրիգորյանի հետ,21:20,"11 Հլս, 2022",11,Հլս,2022,07,2022-07-11,արմեն գրիգորյան
https://www.1tv.am/hy/video/Հարցազրույց-Էդմոն-Մարուքյանի-հետ/201026,https://www.youtube.com/embed/0YPgfFlcbmc?autoplay=1&autohide=1,Հարցազրույց Էդմոն Մարուքյանի հետ,21:30,"08 Հլս, 2022",08,Հլս,2022,07,2022-07-08,էդմոն մարուքյան
https://www.1tv.am/hy/video/Հարցազրույց-Արսեն-Թորոսյանի-հետ/201015,https://www.youtube.com/embed/1GzoTEwgfYA?autoplay=1&autohide=1,Հարցազրույց Արսեն Թորոսյանի հետ,21:20,"07 Հլս, 2022",07,Հլս,2022,07,2022-07-07,արսեն թորոսյան
https://www.1tv.am/hy/video/Հարցազրույց-Վահան-Քերոբյանի-հետ/200959,https://www.youtube.com/embed/gohqzlkG8WA?autoplay=1&autohide=1,Հարցազրույց Վահան Քերոբյանի հետ,21:45,"06 Հլս, 2022",06,Հլս,2022,07,2022-07-06,վահան քերոբյան
https://www.1tv.am/hy/video/Հարցազրույց-Դավիթ-Հակոբյանի-հետ/200932,https://www.youtube.com/embed/Ugik2ArY5gI?autoplay=1&autohide=1,Հարցազրույց Դավիթ Հակոբյանի հետ,21:30,"05 Հլս, 2022",05,Հլս,2022,07,2022-07-05,դավիթ հակոբյան
