,link,video_link,title,time,date,video_id,views,likes,comments,shares
1185,https://www.1tv.am/hy/video/Հարցազրույց-Ռուբեն-Վարդազարյանի-հետ/155395,https://www.youtube.com/embed/X86-yXCQuvc?autoplay=1&autohide=1,Հարցազրույց Ռուբեն Վարդազարյանի հետ,19:30,"09 Հնս, 2020",X86-yXCQuvc,1049,3,6,N/A
1186,https://www.1tv.am/hy/video/Հարցազրույց-Անդրանիկ-Քոչարյանի-հետ/155292,https://www.youtube.com/embed/FSMnKrlN33k?autoplay=1&autohide=1,Հարցազրույց Անդրանիկ Քոչարյանի հետ,19:35,"08 Հնս, 2020",FSMnKrlN33k,3590,125,25,N/A
1187,https://www.1tv.am/hy/video/Հարցազրույց-Սերգեյ-Սմբատյանի-հետ/155122,https://www.youtube.com/embed/XTQb2SMaXxo?autoplay=1&autohide=1,Հարցազրույց Սերգեյ Սմբատյանի հետ,19:30,"06 Հնս, 2020",XTQb2SMaXxo,473,16,0,N/A
1188,https://www.1tv.am/hy/video/Հարցազրույց-Մարինե-Գասպարյանի-հետ/155073,https://www.youtube.com/embed/nkfZIhOdgoI?autoplay=1&autohide=1,Հարցազրույց Մարինե Գասպարյանի հետ,20:30,"05 Հնս, 2020",nkfZIhOdgoI,860,17,1,N/A
1189,https://www.1tv.am/hy/video/Հարցազրույց-Սուսաննա-Սաֆարյանի-հետ/154990,https://www.youtube.com/embed/EFwL9aXDuZY?autoplay=1&autohide=1,Հարցազրույց Սուսաննա Սաֆարյանի հետ,19:30,"04 Հնս, 2020",EFwL9aXDuZY,625,12,2,N/A
1190,https://www.1tv.am/hy/video/Հարցազրույց-Արման-Պողոսյանի-հետ/154933,https://www.youtube.com/embed/UnJgM7jx-fo?autoplay=1&autohide=1,Հարցազրույց Արման Պողոսյանի հետ,20:30,"03 Հնս, 2020",UnJgM7jx-fo,861,13,5,N/A
1191,https://www.1tv.am/hy/video/Հարցազրույց-Եղիշե-Կիրակոսյանի-հետ/154776,https://www.youtube.com/embed/gm5HREVo96w?autoplay=1&autohide=1,Հարցազրույց Եղիշե Կիրակոսյանի հետ,21:30,"01 Հնս, 2020",gm5HREVo96w,1019,23,5,N/A
1192,https://www.1tv.am/hy/video/Հարցազրույց-Սուրեն-Պապիկյանի-հետ/154638,https://www.youtube.com/embed/zTJggY7125o?autoplay=1&autohide=1,Հարցազրույց Սուրեն Պապիկյանի հետ,19:30,"29 Մայ, 2020",zTJggY7125o,967,32,1,N/A
1193,https://www.1tv.am/hy/video/Հարցազրույց-Արտավազդ-Վանյանի-հետ/154486,https://www.youtube.com/embed/hK10kHy0IVQ?autoplay=1&autohide=1,Հարցազրույց Արտավազդ Վանյանի հետ,19:20,"28 Մայ, 2020",hK10kHy0IVQ,483,9,1,N/A
1194,https://www.1tv.am/hy/video/Հարցազրույց-Ատոմ-Ջանջուղազյանի-հետ/154285,https://www.youtube.com/embed/lYOc4YIit-A?autoplay=1&autohide=1,Հարցազրույց Ատոմ Ջանջուղազյանի հետ,19:30,"26 Մայ, 2020",lYOc4YIit-A,1088,21,0,N/A
1195,https://www.1tv.am/hy/video/Հարցազրույց-Կարեն-Անդրեասյանի-հետ/154176,https://www.youtube.com/embed/wn5BctqyY40?autoplay=1&autohide=1,Հարցազրույց Կարեն Անդրեասյանի հետ,21:30,"25 Մայ, 2020",wn5BctqyY40,10759,266,38,N/A
1196,https://www.1tv.am/hy/video/Հարցազրույց-Ալեն-Սիմոնյանի-հետ/154047,https://www.youtube.com/embed/pWqOueNvxkM?autoplay=1&autohide=1,Հարցազրույց Ալեն Սիմոնյանի հետ,19:30,"22 Մայ, 2020",pWqOueNvxkM,1329,76,2,N/A
1197,https://www.1tv.am/hy/video/Հարցազրույց-Արայիկ-Հարությունյանի-հետ/153868,https://www.youtube.com/embed/VBZgZBNONWE?autoplay=1&autohide=1,Հարցազրույց Արայիկ Հարությունյանի հետ,19:40,"21 Մայ, 2020",VBZgZBNONWE,593,27,4,N/A
1198,https://www.1tv.am/hy/video/Հարցազրույց-Հայաստանում-ՄԱԿ-ի-մշտական-համակարգող-Շոմբի-Շարփի-հետ/153771,https://www.youtube.com/embed/xHO48Q1z8rk?autoplay=1&autohide=1,Հարցազրույց Հայաստանում ՄԱԿ-ի մշտական համակարգող Շոմբի Շարփի հետ,19:30,"20 Մայ, 2020",xHO48Q1z8rk,557,11,0,N/A
1199,https://www.1tv.am/hy/video/Հարցազրույց-Ստյոպա-Սաֆարյանի-հետ/153671,https://www.youtube.com/embed/IUDyVmXV6Zw?autoplay=1&autohide=1,Հարցազրույց Ստյոպա Սաֆարյանի հետ,19:30,"19 Մայ, 2020",IUDyVmXV6Zw,854,44,10,N/A
1200,https://www.1tv.am/hy/video/Հարցազրույց-Արմեն-Փամբուխչյանի-հետ/153561,https://www.youtube.com/embed/gzZIzsyCKk8?autoplay=1&autohide=1,Հարցազրույց Արմեն Փամբուխչյանի հետ,19:30,"18 Մայ, 2020",gzZIzsyCKk8,N/A,N/A,N/A,N/A
